feature,importance
vibration_mm_s,0.32490463633756084
turbidity_ntu,0.32260216137418257
pressure_bar,0.17313299582220823
pressure_health_score,0.12699926708888326
flow_efficiency,0.03607937788637941
operational_risk_score,0.008164085559380653
flow_rate_lps,0.0017006430278119064
maintenance_risk_score,0.0011766079623072424
maintenance_age_days,0.0011371985717975315
pump_runtime_hours,0.0011109377344708281
pump_utilisation_score,0.0010997126549050175
temperature_c,0.000963894082955176
chlorine_mg_l,0.0009284818971575342
